feature,importance_rf,importance_perm,importance_perm_std
gdp_per_capita,0.19240829549795097,0.050572519083969515,0.010582573002299056
rd_spending,0.12174651703998822,0.017366412213740523,0.0063265589520041165
internet_users,0.11376884393874298,0.03931297709923669,0.007150761066868395
fdi_inflows,0.10671243543690395,0.007442748091603085,0.0037152523538037854
services_emp,0.0903243681205809,0.023854961832061115,0.007621650972410627
gini,0.08981943130033922,0.03568702290076341,0.008642741888720813
high_tech_exp,0.08175930524991132,0.04026717557251913,0.007678778449897227
unemployment,0.07321263695269693,0.020992366412213814,0.004596028465187905
tertiary_enrollment,0.066908409507384,0.02213740458015274,0.005343511450381681
patent_apps,0.04063645850155998,0.021755725190839754,0.00694404786208406
ai_readiness,0.02270329845394143,0.0020992366412214023,0.002249966817280862
